fruittentje frˈœytɛntʲə
bagageruimte bˈaːɣaːɣˌɪːrœymtə
selfie sɛlfˈi
gesponderd ɣəspˈɔndɛrt
crème-achtige krˈɛməˈɑxtəɣə
neerstallen nˈɪːrstɑlən
vliegtuit vlˈixtœyt
kapst kˈɑpst
5143 vˈɛɪf
chinees-achtig ʃinˈeːsˈɑxtəx
3 drˈi
taart-snijende tˈaːrtsnˈɛɪəndə
ingoten ˈɪnɣˌoːtən
ouderbes ˌʌʊdərbˈɛs
fruitkraam frœytkrˈaːm
kinderhuisje kˈɪndərhˌœysjə
aanst ˈaːnst
binnentuin bˈɪnəntˌœyn
opgedekte ˈɔpɣədˌɛktə
inweg ˈɪnʋˌɛx
15 vˈɛɪftin
turnobject tˈɵrnɔbjˌɛkt
japans jˈaːpɑns
gamecontroller ɣˈaːməkˌɔntrɔlər
jet jˈɛt
ananasen ˌaːnaːnˈaːsən
mouse mˈʌʊzə
indiase ˈɪndˌiaːzə
zwars zʋˈɑrs
schapenscheer sxˈaːpənsxˌɪːr
nieuwsopname nˈiwsɔpnˌaːmə
bureauplek byrˈoːplɛk
baseballmatch bˈaːzəbˌɑlmɑtx
tuinmedewerkster tˈœynmədˌeːʋɛrkstər
stoeldiploma stˌuldɪplˈoːmaː
geitenherder ɣˈɛɪtɛnhˌɛrdər
pilotenhoed pˌiloːtɛnhˈut
messenkast mˈɛsəŋkˌɑst
verjaardagshoedje vərjˈaːrdˌɑxshutjə
gereturnet ɣərˈeːtɵrnˌɛt
reformuleren rˌeːfɔrmylˈɪːrən
verhuisdozen vərhœyzdˈoːzən
manege maːnˈeːɣə
bouwplaats bʌʊplˈaːts
2011-7- tʋˈeː
zitbak zˈɪtbɑk
ecol ˈeːkɔl
computerdesk kɔmpjˈutərdˌɛsk
zuiglappen zˈœyɣlɑpən
motorstunt mˈoːtɔrstˌɵnt
premiere preːmˈirə
panda-achtige pˈɑndaːˈɑxtəɣə
babybeertjes bˈeːbibˌɪːrtʲəs
500w vˈɛɪfhˌɔndərt
turnattribuut tˈɵrnɑtrˌibyt
soepsaus sˈupsʌʊs
videogamen vˌidəoːɣˈaːmən
aansluitpunt ˈaːnslˌœytpɵnt
stopsign stˈɔpsɪɣn
dierentuinachtige dˈirəntˌœynɑxtəɣə
5:33 vˈɛɪf
telefoonnu tˌeːləfˈoːny
jeep jˈeːp
èèn ˈeːn
sportspak spˈɔrtspˌɑk
bruinige brˈœynəɣə
derailing dˈɪːrɑjlˌɪŋ
quadbikes kvˈɑdbikəs
huidskleur hœydsklˈøːr
sneeuwlift snˈeʊlɪft
guitar ɣˈœytɑr
restaurantsetting rˈɛstʌʊrˌɑntsɛtˌɪŋ
paraplu-petje pˈaːrɑplˌypˈɛtʲə
wiiën ʋˈiən
garage ɣaːrˈaːʒə
reportage rˌeːpɔrtˈaːʒə
thuisplaat tœysplˈaːt
getekt ɣətˈɛkt
straatwijzer strˈaːtʋɛɪzər
jerseys jˈɛrsəˌis
energie ˌeːnərʒˈi
vanilla vɑnˈɪlaː
wegwijsbord ʋˈɛɣʋˌɛɪzbɔrt
verjaardagshoed vərjˈaːrdɑxshˌut
tennismaat tˌɛnɪsmˈaːt
midden-amerikaans mˈɪdənˌaːmɪːrikˈaːns
trackbalmuis trˈɑkbɑlmˌœys
let's lˈɛts
parapluhoed pˌaːrɑplyhˈut
ingrediënten ɪnɣrˌeːdiˈɛntˌən
blauwige blˈʌʊəɣə
tv-scherm tˌeːfˈeːsxˈɛrm
fruitverkoper frˈœytvərkˌoːpər
overgangsspoor ˌoːvərɣɑŋspˈoːr
chinato ʃinˈaːtoː
warming-up ʋˈɑrmɪŋ(en)ˈʌp(nl)
snuisterijenwinkel snˌœystɪːrˈɛɪɛnʋɪŋkˌɛl
9 nˈeːɣən
521 vˈɛɪfhˌɔndərt
where's ʋhˈɪːrəs
journalisten ʒˌurnaːlˈɪstən
honkbalshirtjes hˈɔŋkbɑlshˌɪrtʲəs
museumsetting mˈyzøːmsˌɛtɪŋ
welkomsbordje ʋˈɛlkɔmzbˌɔrtjə
passagier pˌɑsaːɣˈir
steenhaard stˈeːnaːrt
wii ʋˈi
bruinig brˈœynəx
etalage ˌeːtaːlˈaːʒə
arabisch aːrˈaːbis
hé hˈeː
wilsonstreet ʋˌɪlsɔnstrˈeːt
watermadser ʋˈaːtərmˌɑdsər
bartafeltje bˈɑrtaːfˌɛltʲə
subben sˈɵbən
gesneeuwde ɣəsnˈeʊdə
beige-bruine bˈɛʒəbrˈœynə
wii'en ʋˈiən
16 zˈɛstin
kookactiviteiten kˈoːkɑktˌivitˌɛɪtən
spoelbakjes spˈulbɑkjəs
orang-oetan ˈoːrɑŋˈutɑn
coca-cola kˈoːkaːkˈoːlaː
@ontwerp ˈaːpənstˌaːrtʲə
t-shirts tˈeːʃˈɪrts
frab frˈɑp
meubelmand mˈøːbɛlmˌɑnt
voedelwaren vˈudɛlʋˌaːrən
partels pɑrtˈɛls
117 hˈɔndərt
fruitverkopers frˈœytvərkˌoːpərs
aziatisch ˌaːziˈaːtis
brandweerbussen brˈɑndʋɪːrbˌɵsən
wintervlakte ʋˈɪntərvlˌɑktə
petachtige pˈɛtɑxtəɣə
zuid-amerikaanse zˈœydˈaːmɪːrˌikaːnsə
krijtborden krˈɛɪtbɔrdən
keybaord kˈeːibˌaːɔrt
fruitsoorten frˈœytsɔːrtən
paddleboard pˈɑdləbˌoːɑrt
sarongachtige sˈaːrɔŋˌɑxtəɣə
amerikanen ˌaːmɪːrikˈaːnən
aanmeerplek ˈaːnmˌɪːrplɛk
horloge hˈɔrloːxə
vervoersbussen vərvˈurzbɵsən
winterskigebied ʋˈɪntərskˌiɣəbˌit
mexx-door mˈɛksksdˈoːr
ruithoekig rœytˈukəx
gadgets ɣˈɑdɣɛts
bureausetting byrˈoːzɛtˌɪŋ
straatmarktje strˈaːtmɑrktʲə
etensplek ˈeːtənsplˌɛk
aanmoedigers ˈaːnmˌudəɣərs
vierkantjespatroon vˌirkɑntʲˌɛspɑtrˈoːn
balkondeurtjes bˈɑlkɔndˌøːrtʲəs
shirten ʃˈɪrtən
champagne-goudkleurig ʃɑmpˈɑɲəɣʌʊdklˈøːrəx
21 ˈeːnɛntʋˌɪntəx
kameel-rijden kaːmˈeːlrˈɛɪdən
europese ˌøːroːpˈeːsə
brandweerpaal brˈɑndʋɪːrpˌaːl
pizza-oven pˈɪzaːˈoːvən
beige bˈɛʒə
crème-wit krˈɛməʋˈɪt
50 vˈɛɪftəx
partas pˈɑrtɑs
googlestraat ɡˈuːɡəlstrˌaːt
cd's sˌeːdˈeːs
suppen sˈɵpən
stereo-installaties stˈɪːrəˌoːˈɪnstɑlˌaːtsis
detair deːtˈɛr
deharo deːhˈaːroː
overstoken ˌoːvərstˈoːkən
crosstr krˈɔstr
fisherman's fˈɪshərmˌɑns
time-lapse (en)tˈaɪm(nl)lˈɑpsə
vanille vɑnˈɪlə
minihuisje mˈinihˌœysjə
vijftigsle vˈɛɪftɪxslə
fruitmanden frˈœytmɑndən
onopgeruimd ɔnˈɔpɣərˌœymt
cameraopname kˌaːmɪːrˌaːɔpnˈaːmə
close-up klˈoːsə(en)ˈʌp(nl)
ipad ˈipɑt
suv's sˈɵfs
pineapples pˌinəɑplˈɛs
djembe's dʒˈɛmbəs
zwart-wit zʋˈɑrtʋˈɪt
parijs paːrˈɛɪs
slaghouding slˈɑxhʌʊdˌɪŋ
indonesisch ˌɪndoːnˈeːzis
dvd's dˌeːfˌeːdˈeːs
amerikaans ˌaːmɪːrikˈaːns
lichtgoude lˈɪxtɣʌʊdə
lego-achtige lˈeːɣoːˈɑxtəɣə
passage pɑsˈaːʒə
brighton-marina brɪxtˈɔnmaːrˈinaː
bananenkraam bˌaːnaːnəŋkrˈaːm
paddelen pˈɛdələn
autorijbaan ˈʌʊtoːrˌɛɪbaːn
fabriekskeuken fˈɑbrikskˌøːkən
crêpepapieren krˌɛpəpaːpˈirən
post-its pˈɔstˈɪts
telefoonhuis tˌeːləfˈoːnhœys
bruinvorming brˈœynvɔrmˌɪŋ
verkeersstoplichten vərkˈɪːrsstˌɔplɪxtən
miniatuurhuisje mˈiniˌaːtyrhˌœysjə
